"spkid","name","pha","epoch","a","e","i","w","om","ma","H","G","GM"
20026817,,N,2460600.5,2.804,0.5938,3.50,156.55,153.19,336.97,19.49,,
20027002,,Y,2460600.5,1.744,0.4333,8.70,0.82,130.34,203.62,18.31,,
20027031,,N,2460600.5,2.139,0.4256,5.35,111.88,191.80,142.56,17.88,,
20027346,,N,2460600.5,1.875,0.3990,36.95,269.29,135.19,295.12,15.89,,
20029075,,Y,2460600.5,1.699,0.5077,12.16,224.76,356.59,223.31,17.29,,
20030825,,N,2460600.5,2.436,0.6812,8.74,33.67,205.02,40.46,14.75,,
20030997,,N,2460600.5,1.56,0.6432,36.26,151.17,38.62,206.27,17.30,,
20031210,,N,2460600.5,2.606,0.5022,8.96,271.42,144.89,157.48,16.40,,
20031221,,N,2460600.5,1.723,0.2570,20.22,186.76,331.02,284.97,17.30,,
20031345,,N,2460600.5,2.016,0.3915,6.50,156.23,222.69,30.83,17.62,,
20031346,,N,2460600.5,2.03,0.4297,5.96,350.49,299.71,28.40,17.18,,
20031662,,N,2460600.5,1.597,0.5479,18.82,312.03,13.94,158.87,19.54,,
20031669,,Y,2460600.5,2.137,0.5776,9.54,39.10,78.77,97.39,16.09,,
20032906,,N,2460600.5,2.247,0.4404,18.94,92.38,331.14,302.67,16.04,,
20033342,,Y,2460600.5,0.7187,0.4177,7.37,167.52,81.66,27.50,18.02,,
20034613,,N,2460600.5,2.07,0.3869,6.17,286.22,315.25,140.35,16.08,,
20035107,,Y,2460600.5,1.137,0.1442,13.91,206.96,139.34,100.55,16.91,,
20035396,,Y,2460600.5,1.442,0.4837,4.10,103.04,213.65,272.13,17.01,,
20035432,,N,2460600.5,2.501,0.5456,13.15,1.60,115.32,259.41,19.39,,
20035670,,N,2460600.5,2.122,0.5964,7.14,169.85,271.33,130.45,19.57,,
20036017,,N,2460600.5,1.523,0.3143,5.55,52.13,332.07,110.68,19.30,,
20036183,,N,2460600.5,1.551,0.3324,38.22,311.22,54.64,8.46,16.33,,
20036236,,N,2460600.5,1.333,0.4238,58.04,19.79,241.07,200.50,15.98,,
20036284,,N,2460600.5,1.484,0.5538,46.76,317.96,323.15,128.39,15.05,,
20037336,,N,2460600.5,2.254,0.4831,36.67,118.03,223.64,309.55,15.78,,
20037638,,Y,2460600.5,1.913,0.5199,5.08,323.20,145.56,236.56,19.28,,
20037655,Illapa,Y,2460600.5,1.478,0.7525,18.03,303.90,139.52,254.99,17.85,,
20038071,,Y,2460600.5,2.089,0.5075,12.74,8.81,195.49,162.10,19.57,,
